school,major,risk_level,source_present,official_source_type,required_recommended_mixed,numeric_score_suspect,gpa_suspect,credit_suspect,same_requirements_as_other_majors,needs_official_check,notes
University of Washington,Aeronautics & Astronautics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Bioengineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Materials Science & Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Human Centered Design & Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Informatics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Economics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Psychology,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Applied Mathematics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Statistics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Physics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Biology,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Communication,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Political Science,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Sociology,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,History,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,English,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Philosophy,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Computer Engineering (Allen School),verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Electrical & Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Washington,Environmental Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Data Science,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Industrial and Operations Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Materials Science and Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Naval Architecture and Marine Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Climate and Meteorology,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Economics,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Psychology,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
University of Michigan,Biology,verified,true,official_site,false,false,false,false,false,false,None
