school,major,requirementType,reason,rawText,suggestedAction,canonicalCourseId,canonicalCourseName,conditionType,reviewerNote
Columbia University,Applied Physics / Applied Mathematics,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Applied Physics / Applied Mathematics,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Applied Physics / Applied Mathematics,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Civil Engineering & Engineering Mechanics,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Civil Engineering & Engineering Mechanics,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Civil Engineering & Engineering Mechanics,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Earth & Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Earth & Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Earth & Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Engineering (Undecided / General),required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Engineering (Undecided / General),required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Engineering (Undecided / General),required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Industrial Engineering & Operations Research,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Industrial Engineering & Operations Research,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Industrial Engineering & Operations Research,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Columbia University,Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Columbia does NOT publish dept-specific required course lists on admissions page,,,,,
Columbia University,Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Min 24 credits at a US-style college (in-progress OK for the 24 credit minimum),,,,,
Columbia University,Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Overall GPA ≥ 3.5 AND Math/Science GPA ≥ 3.5,,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Biological Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,생물 과목 1개 선택 (택1):,,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,생물 과목 추가 1개 (위 목록에서 선택),,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,BEE/ENGRD 2600 (Principles of Biological Engineering),,,,,
